"Party,""Seats"",""Data Size"",""Percentage"""
"denk,""18"",""5.4 GB"",""11.48%"""
"bij1,""3"",""1.1 GB"",""2.34%"""
"glpvda,""17"",""5.1 GB"",""10.84%"""
"sp,""15"",""4.7 GB"",""9.99%"""
"vredevoordieren,""0"",""115.2 MB"",""0.24%"""
"pvdd,""2"",""862.9 MB"",""1.79%"""
"volt,""42"",""12.5 GB"",""26.57%"""
"pp,""4"",""1.4 GB"",""2.98%"""
"d66,""4"",""1.2 GB"",""2.55%"""
"nlplan,""1"",""516.7 MB"",""1.07%"""
"cda,""2"",""824.4 MB"",""1.71%"""
"nsc,""1"",""338.9 MB"",""0.70%"""
"cu,""1"",""474.2 MB"",""0.98%"""
"bbb,""9"",""2.7 GB"",""5.74%"""
"vvd,""1"",""431.9 MB"",""0.90%"""
"lp,""1"",""536.3 MB"",""1.11%"""
"ja21,""7"",""2.1 GB"",""4.46%"""
"bvnl,""2"",""680.4 MB"",""1.41%"""
"50plus,""0"",""61.6 MB"",""0.13%"""
"pvv,""0"",""13.7 MB"",""0.03%"""
"sgp,""0"",""0.0 MB"",""0.00%"""
"fvd,""20"",""6.1 GB"",""12.97%"""
"delinie,""0"",""0.0 MB"",""0.00%"""
